"idRegistroEncuesta","idEstablecimiento","NombreEstablecimiento","NombrePropietario","Direccion","Ciudad","GPS","StickerQR","Canal","Localidad","SubLocalidad"
7024773,396111,la chiquita,octavio vasquez,CL 22 # 24 - 53,MANIZALES,"5.06611454;-75.51758854",60037803,Cafeteria,3,1
6425081,438055,DELYMANA,na,CL 54 # 43 - 111,MEDELLIN,"6.2504801750183105;-75.56226348876953",22038630,Panaderia,10,2
6816879,907385,PROVISIONES SAMARA,SAMIR ,KR 13 SUR # 2 SUR - 23,SAN JUAN DEL CESAR,"10.77008397;-72.99806602",0,Tienda,1,1
6926110,465506,TIENDA MANANTIAL DWL LLANO,,CL 39 # 6 C - 05,VILLAVICENCIO,"4.147835356133588;-73.60613029281546",125007621,Tienda,4,1
7033142,159086,la esquinita ,,CL 50 # 38 - 28,BARRANQUILLA,"10.981350898742676;-74.79005432128906",40903263,Tienda,2,2
6250972,820785,TIENDA JS,,CL 14 # 5 E - 69,DUITAMA,"5.835455894470215;-73.04056549072266",1224423180,Tienda,4,1
6649786,938116,No tiene,No informa,CL 58 # 35 - 17,MEDELLIN,"6.2491536140441895;-75.55311584472656",0,Tienda,8,2
5798790,653024,ASADERO CALI POLLO,No declara,CL 19 # 14 - 57,BARANOA,"10.796346664428711;-74.92052459716797",42027319,Comidas Rapidas,1,1
4823821,554905,productos de aseo s7,NO DECLARADO,KR 107 B # 133 - 09,BOGOTA,"4.738289833068848;-74.1015396118164",17965852,Tienda,11,8
5062934,578169,market caracoli,,KR 5 # 7 - 06,FLORIDABLANCA,"7.0704222;-73.0821445",1224170643,Tienda,7,1
5273172,541375,no tiene ,NO DECLARADO,AC 6 # 15 - 08 LC 2,BOGOTA,"4.597760200500488;-74.0854721069336",17974041,Cafeteria,14,2
6173594,32007084,tienda mixta,jenifer ,KR 38 # 37 - 46,PALMIRA,"3.5347018241882324;-76.30831146240234",32022763,Tienda,1,2
6754869,775914,TIENDA LA PEQUEÑA,diana,CL 13 # 30 A - 21,MANIZALES,"5.061453342437744;-75.52317810058594",62030695,Tienda,11,1
7076800,136020,DROGUERIA FARMA VIMADI,"17",KR 41 # 2 F - 27,BOGOTA,"4.612689971923828;-74.11296844482422",18030393,Drogueria,16,3
6039264,537057,TIENDA JKYN,jaqueline puerta,CL 29 # 31 B - 26,YOPAL,"5.337769031524658;-72.38079833984375",225000576,Tienda,2,1
6695386,256560,FRUVER LOS BUITRAGO,no resp,KR 68 H # 43 C SUR - 98,BOGOTA,"4.598780155181885;-74.14349365234375",17986978,Tienda,8,3
6392272,706012,rampanada,,KR 24 # 34 - 11,CALARCA,"4.527105808258057;-75.64158630371094",62025148,Comidas Rapidas,1,1
6752979,338396,RESTAURANTE DON TEO,lina,CL 5 A # 15 - 06,POPAYAN,"2.4435686878859997;-76.61386267282069",180000353,Restaurantes,4,1
7006412,159091,BETSI LILIANA,no da nombre,CL 50 D # 1 D - 04,BARRANQUILLA,"10.933125495910645;-74.8100357055664",42031785,Tienda,4,2
5973717,623854,RESTAURANTE ISABELLA,NO DECLARADO,CL 16 # 7 A - 21,DUITAMA,"5.834590435028076;-73.03692626953125",132009245,Restaurantes,4,1
5597118,193025,NO TIENE,francisco lozano,KR 12 # 4 - 30,TUNJA,"5.519044876098633;-73.3681640625",132000355,Tienda,5,2
6991507,487746,PANADERIA DELEYTESE,No informa,CL 32 # 7 - 90,LOS PATIOS,"7.84049654006958;-72.50623321533203",110006417,Panaderia,1,1
4969083,582572,PATANIC,NO DECLARADO,CL 39 B SUR # 30 - 65,ENVIGADO,"6.163344383239746;-75.58228302001953",22031140,Comidas Rapidas,2,1
4755768,83492,TIENDA,nn,KR 8 NORTE # 49 NORTE - 22,CALI,"3.477937698364258;-76.50973510742188",32026242,Tienda,4,1
6080657,75280,comidas rapidas,angel,CL 23 # 9 - 62,CALI,"3.4502720832824707;-76.52037811279297",32008793,Comidas Rapidas,9,1
6983736,208450,panaderia y past delicias de la 76,,KR 76 # 3 - 02,CALI,"3.3891884;-76.5485606",1224280851,Panaderia,18,2
3791316,342169,FRUVER NUBIA,nubia sanabria ,KR 6 # 8 - 79,FLORIDABLANCA,"7.0803913;-73.0989154",52004596,Fruver,3,1
5237925,662422,RESTAURANTE ITACHY,JUAN ,CL 21 # 17 - 25 SEC CENTRO,ARMENIA,"4.534111022949219;-75.67500305175781",62026135,Restaurantes,7,1
4976615,584318,PERROKING,no indica,MZ 41 CS 1A SEC PRIMAVERA AZUL,DOSQUEBRADAS,"4.8346387;-75.6601476",62018330,Comidas Rapidas,8,1
7067538,958385,TIENDA Y MISCELANEA LA ECONOMIA LA 51,DANIEL ROJAS ,KR 51 D # 25 - 27,NEIVA,"2.9471418857574463;-75.25028991699219",92011070,Tienda,10,2
7067747,151916,NO TIENE,Nr,CL 58 # 103 E - 39,MEDELLIN,"6.27311416;-75.61246719",22017349,Tienda,7,2
4139943,106046,MI FAMILIA MEMBER,camila goes,KR 76 # 24 - 40,MEDELLIN,"6.2269482814;-75.5966448618",20651340,Pet Shop,16,2
5554272,149941,Tienda Marilux,Mariluz,CL 9 E # 50 SUR - 49,JAMUNDI,"3.22774833333333;-76.5129666666666",30043966,Tienda,1,1
6194682,315922,NO TIENE,ns,KR 4 B # 162 C - 76,BOGOTA,"4.7335116;-74.0133144",17973927,Panaderia,1,1
6900603,140937,loncheria mateo,mateo,CL 22 # 10 - 79,BUCARAMANGA,"7.125301428867097;-73.1324852687498",52021115,Tienda,4,2
6944709,7943,MINIMERCADO MANANTIALES ,,KR 55 # 25 - 80,BELLO,"6.3147759437561035;-75.56094360351562",1200494327,Tienda,3,1
4077448,32006032,Tienda Mixta Darlis,Darly Cuero,KR 43 # 51 - 29,CALI,"3.40169499532896;-76.5069214073127",32006032,Tienda,15,1
4279241,446357,CAFETERIA LUBRICENTRO SERVITRANS,,KR 15 # 65 - 32,CARTAGENA,"10.4397881;-75.5224061",72003998,Cafeteria,1,3
4754673,467427,el pinal,,KR 64 D # 111 B - 28,MEDELLIN,"6.306913085281849;-75.56292749941349",1200496031,Tienda,5,2
6821259,62008536,tienda pipe,,CL 16 C # 10 - 14,CARTAGO,"4.744565460654742;-75.9199276666865",62027144,Tienda,6,1
5348556,331633,MERCA PLAZA EL DEAN,deiber,KR 9 # 21 - 16,POPAYAN,"2.43138008;-76.61264024",180005326,Autoservicio,6,1
7027035,517688,La fortaleza de dios ,,KR 15 A # 78 B - 108,SOLEDAD,"10.91425001649281;-74.81445318744153",42009904,Tienda,1,1
6889369,426098,PANADERIA Y PASTELERIA MARIA ANGEL,LUIS,KR 17 # 40 A - 22,VILLAVICENCIO,"4.152396202087402;-73.61652374267578",125002740,Panaderia,4,1
4378300,477201,NO TIENE, o,KR 81 A # 84 B SUR - 02,BOGOTA,"4.614198333333333;-74.20753666666666",17934040,Cafeteria,7,3
6958694,989047,makondo,,CL 9 # 10 - 40 LC 2,CIENAGA,"11.0105972;-74.2525489",1224495253,Comidas Rapidas,1,1
6961825,651008,TIENDA LA VIÑA,Rosa Ortiz,KR 37 # 12 - 46,NEIVA,"2.9352400302886963;-75.26306915283203",92010846,Tienda,5,2
5017183,594493,PARRILLA Y CARBON,miguel contreras ,DG 62 # 44 - 05,BARRANCABERMEJA,"7.071041;-73.8319652",0,Comidas Rapidas,6,1
5339080,578530,tienda jyj,maria gladis mora,CL 25 A # 11 ESTE - 28,VILLAVICENCIO,"4.130595;-73.592225",125008155,Tienda,5,1
6965714,190004007,tienda jaider,,CL 20 A # 1 - 02,PASTO,"1.2007800340652466;-77.26094055175781",190004007,Tienda,3,1
6692242,251537,minimercado la abonanza ,,CL 85 # 40 - 27,MEDELLIN,"6.276209831237793;-75.54910278320312",22035127,Autoservicio,3,1
5755182,535377,Cuisine Appetit SAS,,KR 54 # 46 - 71 LC 407,MEDELLIN,"6.2490991;-75.5721905",22026907,Restaurantes,10,1
6909012,203225,NO TIENE,NO DECLARADO,CL 172 A # 21 A - 12,BOGOTA,"4.752979755401611;-74.04360961914062",17966823,Panaderia,1,2
5931356,786870,panaderia capri pan,,KR 50 # 43 - 83,BELLO,"6.329346656799316;-75.55809783935547",1224439022,Panaderia,1,2
4362873,195960,La tienda de la esquina ,NO DECLARADO,KR 23 BIS # 42 B - 02 SUR,BOGOTA,"4.57865945972;-74.1239642634",10004883,Tienda,18,1
4296957,448029,don dan cafe,Manuel rodelo,TV 54 # 31 - 83 SEC EL RUBY,CARTAGENA,"10.393795;-75.48437333333332",72004417,LicoBar,1,8
